0	name	会話内容
1	怪しげな男	「おや、これは……随分と可愛らしい方がいらっしゃりましたね」
2	_	「こんな薄暗い洞窟の中では珍しい」
3	_	「お嬢さんは一体どうして、このような場所に？」
4	_	「…………」
5	_	「ほう。道に迷ってしまって出口を探していると」
6	_	「それなら先ほど、この先に外へと続く道を作ったので、利用してもらってかまいませんよ」
7	_	「こう見えて私は四属性に適性のある魔術師。洞窟で外に続く大穴を開けるなど造作もないこと」
8	_	「ところで、四属性も扱えると人間の放つ微小な魔力さえも探知でき、相手がどの程度の実力を持っているのか把握できるのです」
9	_	「……なるほど」
10	_	「ここは腐っても旧魔王軍領地の未開拓地。並の人間が迷いこむと命の危険がある」
11	_	「そんな場所を一人で抜け出し、あなたは出口までたどり着こうとしている。それはもはや普通の人間では成し得ないことです」
12	_	「あなたの魔力を感じ取り、納得がいきました。とても強い力を持っている」
13	_	「おそらく、その強さは私のそれとはまた別種。特にその固有魔術「<r="Destroy">破壊</r>」は世界を覆すだけの力を持っている」
14	_	「そんな力を身に宿し、あなたは生まれてきた。幸か不幸か、あなたがここまで生き残ってきたのも、その力のおかげでもあるでしょう」
15	_	「……少し話が長くなってしまいましたね」
16	_	「そこで、私は知りたくなったのです」
17	_	「ここまで生き残ったあなたが一体何を経験し、何を思ったのか」
18	_	「お嬢さん、私と手合わせしてもらえませんか」
19	_	「…………」
20	_	「『戦う理由がない』……ですか」
21	_	「であれば作りましょう」
